SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
BHANDARI,EQ,2.4,2.45,2.3,2.3,2.3,2.3,139347,329380.3,2017-06-28,59,INE474E01029
BHARATFIN,EQ,701.15,709.0,698.0,704.15,702.9,707.2,1036526,728890190.1,2017-06-28,18753,INE180K01011
BHARATFORG,EQ,1084.0,1087.0,1052.9,1059.1,1064.0,1090.2,1132585,1210982745.8,2017-06-28,28954,INE465A01025
BHARATGEAR,EQ,130.0,142.0,129.0,139.15,138.1,131.2,148634,20672311.85,2017-06-28,2814,INE561C01019
BHARATIDIL,EQ,8.4,9.2,8.4,8.65,8.8,8.9,28430,249167.35,2017-06-28,78,INE673G01013
BHARATRAS,EQ,2902.05,3000.0,2890.0,2984.75,2980.0,2923.8,1114,3268945.4,2017-06-28,199,INE838B01013
BHARATWIRE,EQ,89.55,90.85,87.5,88.25,88.5,89.35,148461,13246527.85,2017-06-28,963,INE316L01019
BHARTIARTL,EQ,374.9,381.65,367.5,377.2,378.7,371.45,3794226,1415125621.5,2017-06-28,57586,INE397D01024
BHEL,EQ,134.1,136.8,132.5,136.3,136.55,134.4,3060003,413250882.45,2017-06-28,16580,INE257A01026
BHUSANSTL,EQ,68.35,68.7,65.2,66.05,65.8,68.4,1765947,117462431.25,2017-06-28,13477,INE824B01021
BIGBLOC,EQ,85.5,85.75,84.5,85.1,85.5,86.0,17606,1501398.3,2017-06-28,153,INE412U01017
BIL,EQ,589.25,595.0,576.1,580.3,576.5,591.8,25743,15172095.4,2017-06-28,711,INE828A01016
BILENERGY,EQ,0.75,0.75,0.75,0.75,0.75,0.8,10000,7500.0,2017-06-28,2,INE607L01029
BILPOWER,EQ,1.4,1.4,1.4,1.4,1.4,1.4,391,547.4,2017-06-28,1,INE952D01018
BINANIIND,EQ,74.8,75.75,73.5,73.85,73.6,73.75,19525,1446276.1,2017-06-28,294,INE071A01013
BINDALAGRO,EQ,23.5,23.9,23.35,23.55,23.5,23.45,35071,825632.95,2017-06-28,169,INE143A01010
BIOCON,EQ,322.95,329.55,319.25,328.0,329.55,322.95,1010224,328444657.05,2017-06-28,15477,INE376G01013
BIRLACABLE,EQ,41.95,42.0,41.0,41.45,41.3,41.3,9666,403029.5,2017-06-28,180,INE800A01015
BIRLACORPN,EQ,879.85,879.85,862.15,868.0,867.95,868.75,6756,5880058.35,2017-06-28,647,INE340A01012
BIRLAMONEY,EQ,66.95,68.0,65.85,67.0,67.0,66.0,1200518,80371199.1,2017-06-28,6941,INE865C01022
BLBLIMITED,BE,6.3,6.3,5.9,6.3,6.3,6.2,1550,9651.0,2017-06-28,9,INE791A01024
BLISSGVS,EQ,154.8,161.1,152.8,155.4,155.65,153.85,236857,37113944.35,2017-06-28,2525,INE416D01022
BLKASHYAP,EQ,36.0,36.6,35.1,35.5,35.8,35.95,183728,6576063.9,2017-06-28,708,INE350H01032
